Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$461,421,559","$372,755",<0.1%,"$461,048,804",99.9%
2,Demon Slayer: Mugen Train,"$453,108,486","$47,700,000",10.5%,"$405,408,486",89.5%
3,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
4,"My People, My Homeland","$422,390,820",-,-,"$422,390,820",100%
5,Tenet,"$363,656,624","$58,456,624",16.1%,"$305,200,000",83.9%
6,Sonic the Hedgehog,"$319,715,683","$148,974,665",46.6%,"$170,741,018",53.4%
7,Dolittle,"$245,487,753","$77,047,065",31.4%,"$168,440,688",68.6%
8,Legend of Deification,"$240,663,149","$214,670",<0.1%,"$240,448,479",99.9%
9,A Little Red Flower,"$216,000,000",-,-,"$216,000,000",100%
10,Birds of Prey,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
11,Shock Wave 2,"$198,920,479",-,-,"$198,920,479",100%
12,The Croods: A New Age,"$197,949,815","$58,568,815",29.6%,"$139,381,000",70.4%
13,Wonder Woman 1984,"$166,534,027","$46,534,027",27.9%,"$120,000,000",72.1%
14,The Sacrifice,"$161,047,608",-,-,"$161,047,608",100%
15,The Invisible Man,"$143,151,000","$70,410,000",49.2%,"$72,741,000",50.8%
16,Onward,"$141,949,294","$61,555,145",43.4%,"$80,394,149",56.6%
17,Warm Hug,"$129,240,236",-,-,"$129,240,236",100%
18,Soul,"$119,263,083",-,-,"$119,263,083",100%
19,The Call of the Wild,"$111,105,497","$62,342,368",56.1%,"$48,763,129",43.9%
20,Caught in Time,"$80,543,319",-,-,"$80,543,319",100%
21,The Yin-Yang Master: Dream of Eternity,"$68,000,000",-,-,"$68,000,000",100%
22,Mulan,"$66,800,000",-,-,"$66,800,000",100%
23,Stand by Me Doraemon 2,"$65,066,630",-,-,"$65,066,630",100%
24,The Rescue,"$64,042,765","$18,797",<0.1%,"$64,023,968",100%
25,Love You Forever,"$60,670,799",-,-,"$60,670,799",100%
26,Greenland,"$52,300,000",-,-,"$52,300,000",100%
27,Tolo Tolo,"$52,186,426",-,-,"$52,186,426",100%
28,Vanguard,"$50,814,965","$793,525",1.6%,"$50,021,440",98.4%
29,Fantasy Island,"$48,811,343","$27,309,289",55.9%,"$21,502,054",44.1%
30,After We Collided,"$47,990,414","$2,386,483",5%,"$45,603,931",95%
31,"From Today, It's My Turn: The Movie","$47,866,854",-,-,"$47,866,854",100%
32,Trolls World Tour,"$47,064,837",-,-,"$47,064,837",100%
33,The New Mutants,"$46,996,076","$23,852,659",50.8%,"$23,143,417",49.2%
34,Tanhaji: The Unsung Warrior,"$45,221,814",-,-,"$45,221,814",100%
35,Unhinged,"$44,331,465","$20,831,465",47%,"$23,500,000",53%
36,The End of Endless Love,"$43,950,000",-,-,"$43,950,000",100%
37,Train to Busan Presents: Peninsula,"$42,698,327","$1,231,407",2.9%,"$41,466,920",97.1%
38,Monster Hunter,"$42,145,959","$15,162,470",36%,"$26,983,489",64%
39,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
40,The War with Grandpa,"$40,743,350","$21,277,892",52.2%,"$19,465,458",47.8%
41,Sarileru Neekevvaru,"$37,389,889","$821,000",2.2%,"$36,568,889",97.8%
42,New Interpretation Records of the Three Kingdoms,"$36,747,486",-,-,"$36,747,486",100%
43,The Confidence Man JP: Princess,"$36,109,913",-,-,"$36,109,913",100%
44,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
45,My Mom is a Character 3,"$34,360,029",-,-,"$34,360,029",100%
46,Deliver Us from Evil,"$33,718,703",-,-,"$33,718,703",100%
47,Bloodshot,"$33,542,457","$12,561,824",37.5%,"$20,980,633",62.5%
48,Doraemon the Movie: Nobita's New Dinosaur,"$33,479,893",-,-,"$33,479,893",100%
49,Harry Potter and the Sorcerer's Stone 2020 Re-release,"$31,501,815",-,-,"$31,501,815",100%
50,Honest Thief,"$31,139,004","$14,163,574",45.5%,"$16,975,430",54.5%
51,Like a Boss,"$30,399,490","$22,169,514",72.9%,"$8,229,976",27.1%
52,Bath Buddy,"$28,700,000",-,-,"$28,700,000",100%
53,Ala Vaikunthapurramuloo,"$28,477,890",-,-,"$28,477,890",100%
54,The Witches,"$26,900,000",-,-,"$26,900,000",100%
55,Emma.,"$26,405,753","$10,055,355",38.1%,"$16,350,398",61.9%
56,Leap,"$25,818,882","$83,074",0.3%,"$25,735,808",99.7%
57,Scoob!,"$24,900,000",-,-,"$24,900,000",100%
58,Interstellar 2020 Re-release,"$23,771,122",-,-,"$23,771,122",100%
59,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
60,Poupelle of Chimney Town,"$21,824,592",-,-,"$21,824,592",100%
61,Stigmatized Properties,"$21,276,720",-,-,"$21,276,720",100%
62,The Father,"$21,109,467","$2,122,771",10.1%,"$18,986,696",89.9%
63,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
64,Yarn,"$20,444,185",-,-,"$20,444,185",100%
65,Violet Evergarden: The Movie,"$20,339,624",-,-,"$20,339,624",100%
66,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
67,Ice 2,"$19,788,995",-,-,"$19,788,995",100%
68,Soul Snatcher,"$19,561,221",-,-,"$19,561,221",100%
69,The Turning,"$19,429,304","$15,472,775",79.6%,"$3,956,529",20.4%
70,Fate/Stay Night: Heaven's Feel - III. Spring Song,"$19,252,497","$200,000",1%,"$19,052,497",99%
71,How the Grinch Stole Christmas 2020 Re-release,"$18,455,781","$420,180",2.3%,"$18,035,601",97.7%
72,Takizawa Enbujo Zero,"$18,091,395",-,-,"$18,091,395",100%
73,The Promised Neverland,"$17,698,106",-,-,"$17,698,106",100%
74,Kaiji: Final Game,"$17,645,779",-,-,"$17,645,779",100%
75,Hitman: Agent Jun,"$17,601,351",-,-,"$17,601,351",100%
76,Digimon Adventure: Last Evolution Kizuna,"$17,068,434",-,-,"$17,068,434",100%
77,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
78,Promising Young Woman,"$16,605,359","$6,460,965",38.9%,"$10,144,394",61.1%
79,Bye Bye Morons,"$16,555,314",-,-,"$16,555,314",100%
80,Pokémon the Movie: Secrets of the Jungle,"$16,052,056",-,-,"$16,052,056",100%
81,I Still Believe,"$16,021,491","$9,868,521",61.6%,"$6,152,970",38.4%
82,Freaky,"$15,920,855","$9,030,855",56.7%,"$6,890,000",43.3%
83,Padre no hay más que uno 2: La llegada de la suegra,"$15,354,893",-,-,"$15,354,893",100%
84,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
85,The Personal History of David Copperfield,"$14,323,901","$1,876,298",13.1%,"$12,447,603",86.9%
86,Nightlife,"$14,308,789",-,-,"$14,308,789",100%
87,Pawn,"$14,193,957",-,-,"$14,193,957",100%
88,#Alive,"$13,432,212",-,-,"$13,432,212",100%
89,Howling Village,"$13,394,556",-,-,"$13,394,556",100%
