Rank,Release Group,Worldwide,Domestic,%,Foreign,%
90,Come Play,"$13,175,457","$10,475,990",79.5%,"$2,699,467",20.5%
91,Samjin Company English Class,"$12,761,386",-,-,"$12,761,386",100%
92,News of the World,"$12,668,325","$12,668,325",100%,-,-
93,Collectors,"$12,640,113",-,-,"$12,640,113",100%
94,No Escapes,"$12,611,105",-,-,"$12,611,105",100%
95,Ducobu 3,"$12,157,793",-,-,"$12,157,793",100%
96,Legend No. 17,"$11,811,335",-,-,"$11,811,335",100%
97,Wotakoi: Love Is Hard for Otaku,"$11,702,371",-,-,"$11,702,371",100%
98,Let Him Go,"$11,630,934","$9,358,025",80.5%,"$2,272,909",19.5%
99,The Hunt,"$11,473,631","$5,812,500",50.7%,"$5,661,131",49.3%
100,The Voice of Sin,"$10,983,063",-,-,"$10,983,063",100%
101,30 jours max,"$10,902,305",-,-,"$10,902,305",100%
102,Me contro Te - Il film: La vendetta del Signor S,"$10,779,891",-,-,"$10,779,891",100%
103,The Lion King 2020 Re-release,"$10,691,933",-,-,"$10,691,933",100%
104,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
105,Shinchan: Crash! Scribble Kingdom and Almost Four Heroes,"$10,628,463",-,-,"$10,628,463",100%
106,One Second,"$10,600,000",-,-,"$10,600,000",100%
107,Honest Candidate,"$10,597,464",-,-,"$10,597,464",100%
108,Another Round,"$10,559,932",-,-,"$10,559,932",100%
109,Street Dancer 3D,"$10,339,127",-,-,"$10,339,127",100%
110,My Spy,"$10,200,000",-,-,"$10,200,000",100%
111,The Asadas,"$10,066,797",-,-,"$10,066,797",100%
112,Stolen Identity 2,"$9,687,188",-,-,"$9,687,188",100%
113,Bigfoot Family,"$9,649,111",-,-,"$9,649,111",100%
114,10 Days with Dad,"$9,472,077","$2,359",<0.1%,"$9,469,718",100%
115,365 Days,"$9,458,590",-,-,"$9,458,590",100%
116,Secret Zoo,"$9,457,317",-,-,"$9,457,317",100%
117,Okay Madam,"$9,433,525",-,-,"$9,433,525",100%
118,A Quiet Place 2020 Re-release,"$9,381,052",-,-,"$9,381,052",100%
119,L'appel de la forêt,"$9,317,347",-,-,"$9,317,347",100%
120,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
121,Break the Silence: The Movie,"$8,954,345",-,-,"$8,954,345",100%
122,The Closet,"$8,948,595",-,-,"$8,948,595",100%
123,I Hate Summer,"$8,925,677",-,-,"$8,925,677",100%
124,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
125,Les blagues de Toto,"$8,859,185",-,-,"$8,859,185",100%
126,The Secret Garden,"$8,834,976",-,-,"$8,834,976",100%
127,Malasaña 32,"$8,718,859",-,-,"$8,718,859",100%
128,Eltilerin Savasi,"$8,613,864",-,-,"$8,613,864",100%
129,Malang,"$8,399,765",-,-,"$8,399,765",100%
130,100% Wolf,"$8,349,128","$658,764",7.9%,"$7,690,364",92.1%
131,Bohemian Rhapsody 2020 Re-release,"$8,247,390","$240,000",2.9%,"$8,007,390",97.1%
132,Your Eyes Tell,"$8,020,474",-,-,"$8,020,474",100%
133,AI Amok,"$7,932,191",-,-,"$7,932,191",100%
134,The Lost Prince,"$7,837,980",-,-,"$7,837,980",100%
135,The Marriage Escape,"$7,760,946",-,-,"$7,760,946",100%
136,Spirited Away Studio Ghibli Fest 2020,"$7,732,435",-,-,"$7,732,435",100%
137,Antoinette dans les Cévennes,"$7,716,837",-,-,"$7,716,837",100%
138,Neposredstvenno Kakha,"$7,692,780",-,-,"$7,692,780",100%
139,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,207",-,-,"$7,673,207",100%
140,The Heist of the Century,"$7,627,100",-,-,"$7,627,100",100%
141,Fukushima 50,"$7,494,243",-,-,"$7,494,243",100%
142,De Gaulle,"$7,466,530",-,-,"$7,466,530",100%
143,The (UN)perfect Guy,"$7,154,649",-,-,"$7,154,649",100%
144,Back to the Wharf,"$7,090,000",-,-,"$7,090,000",100%
145,Adu,"$7,085,946",-,-,"$7,085,946",100%
146,The Best Years,"$7,046,708",-,-,"$7,046,708",100%
147,Fatale,"$6,993,043","$6,306,897",90.2%,"$686,146",9.8%
148,Spycies,"$6,979,570",-,-,"$6,979,570",100%
149,Jim Button and the Wild 13,"$6,880,898",-,-,"$6,880,898",100%
150,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
151,Psy 3: W imie zasad,"$6,725,146",-,-,"$6,725,146",100%
152,Blood Moon Party,"$6,709,383",-,-,"$6,709,383",100%
153,Innocence,"$6,659,968",-,-,"$6,659,968",100%
154,Shubh Mangal Zyada Saavdhan,"$6,574,905",-,-,"$6,574,905",100%
155,Silver Skates,"$6,574,310",-,-,"$6,574,310",100%
156,Dragon Rider,"$6,532,855",-,-,"$6,532,855",100%
157,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
158,"Love Me, Love Me Not","$6,494,241",-,-,"$6,494,241",100%
159,Hammamet,"$6,434,874",-,-,"$6,434,874",100%
160,Lindenberg! Mach dein Ding,"$6,404,964",-,-,"$6,404,964",100%
161,Midnight Swan,"$6,397,065",-,-,"$6,397,065",100%
162,Nausicaä of the Valley of the Wind 2020 Re-release,"$6,395,525",-,-,"$6,395,525",100%
163,Simply Black,"$6,323,750",-,-,"$6,323,750",100%
164,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
165,Bill & Ted Face the Music,"$6,274,027","$3,439,660",54.8%,"$2,834,367",45.2%
166,Hotel Belgrade,"$6,199,413",-,-,"$6,199,413",100%
167,The Legacy Of Dr. Death: Black File,"$6,024,046",-,-,"$6,024,046",100%
168,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
169,Jak zostalem gangsterem. Historia prawdziwa,"$5,975,729",-,-,"$5,975,729",100%
170,How to Be a Good Wife,"$5,975,340",-,-,"$5,975,340",100%
171,Twiceborn,"$5,880,157","$11,527",0.2%,"$5,868,630",99.8%
172,The Royal Bride,"$5,830,719",-,-,"$5,830,719",100%
173,Beasts Clawing at Straws,"$5,796,059",-,-,"$5,796,059",100%
174,Last Letter,"$5,663,972",-,-,"$5,663,972",100%
175,Yowamushi Pedal: The Movie 2020 Re-release,"$5,624,218",-,-,"$5,624,218",100%
176,Klassikokkutulek 2: Pulmad ja matused,"$5,543,147",-,-,"$5,543,147",100%
177,Hocus Pocus 2020 Re-release,"$5,432,992","$4,828,000",88.9%,"$604,992",11.1%
178,Two by Two: Overboard!,"$5,382,327",-,-,"$5,382,327",100%
179,Divorce Club,"$5,316,313",-,-,"$5,316,313",100%
180,Mama Weed,"$5,254,166","$21,581",0.4%,"$5,232,585",99.6%
181,Cindy La Regia,"$5,222,322",-,-,"$5,222,322",100%
182,Love Aaj Kal,"$5,120,794",-,-,"$5,120,794",100%
183,Masked Ward,"$5,106,794",-,-,"$5,106,794",100%
184,Ayyappanum Koshiyum,"$5,088,713",-,-,"$5,088,713",100%
185,Baba Parasi,"$5,084,342",-,-,"$5,084,342",100%
186,Die Känguru-Chroniken,"$5,081,127",-,-,"$5,081,127",100%
187,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
188,Mayday,"$5,011,408",-,-,"$5,011,408",100%
189,Bheeshma,"$4,997,080",-,-,"$4,997,080",100%
190,Made in Abyss: Dawn of the Deep Soul,"$4,971,635",-,-,"$4,971,635",100%
191,Godai - The Wunderkind,"$4,948,225",-,-,"$4,948,225",100%
192,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
193,Military Wives,"$4,885,613",-,-,"$4,885,613",100%
194,Run,"$4,873,567",-,-,"$4,873,567",100%
195,The Tales for Old and Young,"$4,853,143",-,-,"$4,853,143",100%
196,Streltsov,"$4,850,073",-,-,"$4,850,073",100%
197,The SpongeBob Movie: Sponge on the Run,"$4,810,790","$4,810,790",100%,-,-
198,The Vets,"$4,788,826",-,-,"$4,788,826",100%
199,The Broken Hearts Gallery,"$4,781,389","$4,067,442",85.1%,"$713,947",14.9%
200,Gladiator 20th Anniversary,"$4,780,585",-,-,"$4,780,585",100%
